boston,Jason,Tatum,Джейсон,Тейтум,0,SF,32.6
boston,Jrue,Holiday,Дрю,Холидей,4,PG,36.9
boston,Jaylen,Brown,Джейлен,Браун,7,SG,31.8
boston,Kristaps,Porzingis,Кристапс,Порзингис,8,PF,36.0
boston,Derrick,White,Деррик,Уайт,9,SG,18.4
boston,Payton,Pritchard,Пэйтон,Притчард,11,PG,4.0
boston,Oshae,Brissett,Ошэй,Бриссетт,12,SF,2.2
boston,JD,Davison,ДжейДи,Дэвисон,20,PG,TW
boston,Dj,Steward,Ди Джей,Стюард,26,SG,1.1
boston,Jordan,Walsh,Джордан,Уолш,27,SF,1.1
boston,Sam,Hauser,Сэм,Хаузер,30,SF,1.9
boston,Luke,Kornet,Люк,Корнет,40,C,2.4
boston,Al,Horford,Эл,Хорфорд,42,C,10.0
boston,Dalano,Banton,Далано,Бэнтон,45,PG,2.0
boston,Svi,Mykhailiuk,Святослав,Михайлюк,50,SG,2.0
boston,Jay,Scrubb,Джей,Скрабб,55,SG,TW
boston,Lamar,Stevens,Ламар,Стивенс,77,SF,2.0
boston,Neemias,Queta,Неэмиаш,Кета,88,C,TW
brooklyn,Royce,O'Neale,Ройс,О'Нил,00,SF,9.5
brooklyn,Dariq,Whitehead,Дарик,Уайтхэд,0,SF,3.0
brooklyn,Mikal,Bridges,Микэл,Бриджес,1,SF,21.7
brooklyn,Cameron,Johnson,Кэмерон,Джонсон,2,PF,25.7
brooklyn,Dennis,Smith Jr.,Деннис,Смит,4,PG,2.0
brooklyn,Darius,Bazley,Дариус,Бэйзли,7,PF,2.0
brooklyn,Lonnie,Walker,Лонни,Уокер,8,SG,2.0
brooklyn,Trendon,Watford,Трендон,Уотфорд,9,PF,2.0
brooklyn,Ben,Simmons,Бэн,Симмонс,10,PG,37.8
brooklyn,Armoni,Brooks,Армони,Брукс,13,SG,TW
brooklyn,Harry,Giles,Гарри,Жиль,14,SF,2.2
brooklyn,Day'Ron,Sharpe,Дэйрон,Шарп,20,C,2.2
brooklyn,Noah,Clowney,Ноа,Клауни,21,PF,3.1
brooklyn,Jalen,Wilson,Джейлен,Уилсон,22,SF,TW
brooklyn,Cam,Thomas,Кэм,Томас,24,SG,2.2
brooklyn,Spencer,Dinwiddie,Спенсер,Динуидди,26,PG,20.4
brooklyn,Dorian,Finney-Smith,Дориан,Финни-Смит,28,SF,13.9
brooklyn,Nic,Claxton,Ник,Клэкстон,33,C,9.7
knicks,Donte,Divicenzo,Донте,Дивиченцо,0,SG,10.9
knicks,Miles,McBride,Майлз,Макбрайд,2,PG,1.8
knicks,Josh,Hart,Джош,Харт,3,SG,13.0
knicks,Duane,Washington Jr.,Дуэйн,Вашингтон,4,PG,2.0
knicks,Immanuel,Quickley,Иммануэл,Куикли,5,PG,4.2
knicks,Quentin,Grimes,Квентин,Граймс,6,SG,2.4
knicks,DaQuan,Jeffries,ДаКуан,Джеффрис,8,SG,2.1
knicks,RJ,Barrett,АрДжей,Баретт,9,SF,23.9
knicks,Jalen,Brunson,Джейлен,Брансон,11,PG,26.3
knicks,Evan,Fournier,Эван,Фурнье,13,SG,18.9
knicks,Charlie,Brown Jr.,Чарли,Браун,16,SG,2.1
knicks,Isaiah,Roby,Айзейя,Роби,18,SF,2.1
knicks,Mitchell,Robinson,Митчелл,Робинсон,23,C,15.7
knicks,Julius,Randle,Джулиус,Рэндл,30,PF,28.2
knicks,Jericho,Sims,Джерико,Симс,45,C,1.9
knicks,Ryan,Arcidiacono,Райан,Арчидиаконо,51,PG,2.5
knicks,Isaiah,Hartenstein,Айзейя,Хартенштайн,55,C,9.2
philadelphia,Tyrese,Maxey,Тайриз,Макси,0,PG,4.3
philadelphia,James,Harden,Джеймс,Харден,1,SG,35.6
philadelphia,Montrezl,Harell,Монтрез,Харрелл,5,C,2.0
philadelphia,Mo,Bamba,Мо,Бамба,7,C,2.0
philadelphia,De'Anthony,Melton,Де’Энтони,Мелтон,8,PG,8.0
philadelphia,Kelly,Oubre Jr.,Келли,Убре,9,SF,2.0
philadelphia,Jaden,Springer,Джейден,Спрингер,11,SG,2.2
philadelphia,Tobias,Harris,Тобайас,Харрис,12,PF,39.3
philadelphia,Danny,Green,Дэнни,Грин,14,SF,2.0
philadelphia,Ricky,Council,Рики,Каунсил,16,SG,TW
philadelphia,P.J.,Tucker,ПиДжей,Такер,17,PF,11.0
philadelphia,Azuolas,Tubelis,Ажуолас,Тубелис,20,PF,TW
philadelphia,Joel,Embiid,Джоэл,Эмбиид,21,C,47.6
philadelphia,Patrick,Beverley,Патрик,Беверли,22,PG,2.0
philadelphia,Terquavion,Smith,Теркуэвион,Смит,23,SG,TW
philadelphia,Danuel,House Jr.,Дэньюэл,Хауз,25,SF,4.3
philadelphia,David,Duke Jr.,Дэвид,Дюк,28,SG,2.0
philadelphia,Furkan,Korkmaz,Фуркан,Коркмаз,30,SF,5.4
philadelphia,Filip,Petrusev,Филип,Петрушев,33,C,1.1
philadelphia,Paul,Reed,Пол,Рид,44,PF,7.7
toronto,Javon,Freeman-Liberty,Джавон,Фримен-Либерти,0,SG,TW
toronto,Gradey,Dick,Грэйди,Дик,1,SF,4.5
toronto,Jalen,McDaniels,Джален,Макдэниэлс,2,PF,4.5
toronto,O.G.,Anunoby,О Джи,Ануноби,3,SF,18.6
toronto,Scottie,Barnes,Скотти,Барнс,4,SF,8.0
toronto,Precious,Achiuwa,Прешес,Ачиува,5,PF,4.4
toronto,Ron,Harper Jr.,Рон,Харпер,8,SG,TW
toronto,Garett,Temple,Гарретт,Темпл,14,SG,2.0
toronto,Mouhamadou,Gueye,Мухамаду,Ги,15,SF,1.1
toronto,Dennis,Schroder,Деннис,Шредер,17,PG,12.4
toronto,Jacob,Poeltl,Якоб,Пелтль,19,C,19.5
toronto,Jeff,Dowtin Jr.,Джефф,Даутин,20,PG,2.0
toronto,Thaddeus,Young,Таддеус,Янг,21,PF,8.0
toronto,Malachi,Flynn,Малакай,Флинн,22,PG,3.9
toronto,Markquis,Nowell,Маркиз,Науэлл,24,PG,TW
toronto,Chris,Boucher,Крис,Буше,25,C,11.8
toronto,Otto,Porter Jr.,Отто,Портер,32,SF,6.3
toronto,Gary,Trent Jr.,Гэри,Трент,33,SG,18.6
toronto,Christian,Koloko,Кристиан,Колоко,35,C,1.7
toronto,Pascal,Siakam,Паскаль,Сиакам,43,PF,37.9
chicago,Coby,White,Коби,Уайт,0,PG,11.1
chicago,Lonzo,Ball,Лонзо,Болл,2,PG,20.5
chicago,Andre,Drummond,Андре,Драммонд,3,C,3.4
chicago,Jevon,Carter,Джевон,Картер,5,PG,6.2
chicago,Alex,Caruso,Алекс,Карузо,6,SG,9.5
chicago,Zach,LaVine,Зак,Лавин,8,SF,40.1
chicago,Nikola,Vucevic,Никола,Вучевич,9,C,18.5
chicago,DeMar,DeRozan,Демар,Дерозан,11,SF,28.6
chicago,Ayo,Dosunmu,Айо,Досунму,12,PG,6.5
chicago,Carlik,Jones,Карлик,Джонс,22,PG,1.9
chicago,Dalen,Terry,Дэйлен,Терри,25,SF,3.4
chicago,Quenton,Jackson,Куэнтон,Джексон,29,SG,1.8
chicago,Terry,Taylor,Тэрри,Тэйлор,32,SF,2.0
chicago,Justin,Lewis,Джастин,Льюис,34,PF,TW
chicago,Patrick,Williams,Патрик,Уильямс,44,PF,7.8
cleveland,Max,Strus,Макс,Струс,1,SF,14.5
cleveland,Ty,Jerome,Тай,Джером,2,PG,2.4
cleveland,Caris,LeVert,Карис,Леверт,3,SF,15.4
cleveland,Evan,Mobley,Эван,Мобли,4,PF,8.9
cleveland,Sam,Merrill,Сэм,Меррилл,5,SG,2.0
cleveland,Tristan,Thompson,Тристан,Томпсон,9,C,2.0
cleveland,Darius,Garland,Дариус,Гарлэнд,10,PG,34.0
cleveland,Ricky,Rubio,Рикки,Рубио,13,PG,6.1
cleveland,Isaiah,Mobley,Айзейя,Мобли,15,PF,TW
cleveland,Georges,Niang,Джордж,Ньянг,20,PF,8.8
cleveland,Emoni,Bates,Эмони,Бэйтс,21,SF,TW
cleveland,Damian,Jones,Дэмиан,Джонс,30,C,2.6
cleveland,Jarrett,Allen,Джаретт,Аллен,31,C,20.0
cleveland,Dean,Wade,Дин,Уэйд,32,PF,5.7
cleveland,Isaac,Okoro,Айзек,Окоро,35,SF,8.9
